ApplicationKey,ApplicationCode
0.0,Unknown
3.1934721377068744e+18,OPTI
1.2313904705378066e+19,GRP
4.422107264119351e+18,HDLDS
1.3662277598089075e+19,SEM
6.894500110228243e+18,EFX
4.847446773019625e+18,NYION
7.036973661933814e+18,MCSDS
1.162600097680835e+19,EFXNG
1.7004773942686763e+19,TRNPY
1.9387955113610217e+18,KDB
1.8071709530452963e+19,INFNY
1.180474217364753e+19,nan
8.564547254283368e+18,TDSSM
4.4126583135678336e+18,WFX
1.3574369899776506e+19,ITRS
