EnvironmentKey,Environment
0.0,Unknown
1.667951434650495e+19,DEV
1.2030484768514497e+19,DEV PRD
1.5562804468507034e+19,DRP
8.670049507201332e+18,PAT
7.180326990295496e+18,PAT PRD
1.5484688019640574e+19,PROD
1.1169802048114184e+18,UAT
5.306271578927864e+18,UAT PRD
