ApplicationKey,ModelKey,EnvironmentKey,VirtualKey,TeamKey,CandidateKey,RowCount
3.1934721377068744e+18,1.4252200514331027e+19,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
1.2313904705378066e+19,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.3662277598089075e+19,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,0.0,841705572777790592,1
3.1934721377068744e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,3.5919407474125486e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
6.894500110228243e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
6.894500110228243e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
4.847446773019625e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
7.036973661933814e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
4.847446773019625e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,8.623804074354514e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
4.847446773019625e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
1.162600097680835e+19,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
7.036973661933814e+18,3.974028441303413e+18,1.667951434650495e+19,9.197396520324871e+18,1.0087421062128142e+19,12544075227703922688,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.7004773942686763e+19,7.397697892821142e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
4.422107264119351e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.180474217364753e+19,841705572777790592,1
1.9387955113610217e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.4465995404274522e+19,841705572777790592,1
4.847446773019625e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,841705572777790592,1
3.1934721377068744e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,841705572777790592,1
3.1934721377068744e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,841705572777790592,1
3.1934721377068744e+18,4.453068473741222e+18,1.667951434650495e+19,9.197396520324871e+18,1.185040210745942e+18,841705572777790592,1
1.7004773942686763e+19,8.623804074354514e+18,1.2030484768514497e+19,9.197396520324871e+18,1.180474217364753e+19,12544075227703922688,1
1.7004773942686763e+19,9.524580141393482e+18,1.2030484768514497e+19,9.197396520324871e+18,1.180474217364753e+19,12544075227703922688,1
6.894500110228243e+18,1.4252200514331027e+19,1.2030484768514497e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
6.894500110228243e+18,1.4252200514331027e+19,1.2030484768514497e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
6.894500110228243e+18,3.974028441303413e+18,1.2030484768514497e+19,9.197396520324871e+18,7.708051643931653e+17,12544075227703922688,1
1.9387955113610217e+18,4.453068473741222e+18,1.2030484768514497e+19,9.197396520324871e+18,1.4465995404274522e+19,841705572777790592,1
1.9387955113610217e+18,4.453068473741222e+18,1.2030484768514497e+19,9.197396520324871e+18,1.4465995404274522e+19,841705572777790592,1
1.9387955113610217e+18,4.453068473741222e+18,1.2030484768514497e+19,9.197396520324871e+18,1.4465995404274522e+19,841705572777790592,1
4.847446773019625e+18,8.623804074354514e+18,1.2030484768514497e+19,9.197396520324871e+18,1.185040210745942e+18,12544075227703922688,1
